year,month,day,weather-event,tempC-high,tempC-avg,tempC-low,dewpoint-high,dewpoint-avg,dewpoint-low,humidity-perc-high,humidity-perc-avg,humidity-perc-low,sealevelpress-high,sealevelpress-avg,sealevelpress-low,visibilty-km-high,visibilty-km-avg,visibilty-km-low,wind-km-h-high,wind-km-h-avg,precipitation-mm-high,precipitation-mm-sum
2017,1,1,"Rain , Thunderstorm",31,26,21,20,14,2,88,56,16,1017,1016,1015,10,9,2,27,10,55,0.00
2017,1,2,Thunderstorm,29,24,21,21,16,9,94,60,29,1016,1015,1013,10,10,10,23,10,-,0.00
2017,1,3,"Rain , Thunderstorm",34,20,7,18,12,-1,100,52,11,1016,1014,1011,10,9,2,39,19,34,0.00
2017,1,4,"Rain , Thunderstorm",30,26,21,19,14,7,88,56,23,1017,1015,1013,10,10,10,24,11,-,0.00
2017,1,5,Rain,30,26,22,21,14,7,94,54,25,1019,1017,1015,10,10,7,39,8,61,0.00
2017,1,6,"Rain , Thunderstorm",32,26,21,21,14,1,94,57,15,1019,1017,1015,10,9,5,39,10,60,0.00
2017,1,7,Rain,32,26,21,21,16,5,94,61,19,1018,1017,1014,10,10,9,21,10,-,0.00
2017,1,8,Thunderstorm,33,27,21,20,13,4,94,52,16,1016,1015,1011,10,10,10,16,13,-,0.00
2017,1,9,"Rain , Thunderstorm",33,28,22,21,13,3,94,46,16,1016,1013,1010,10,9,5,34,11,45,0.00
2017,1,10,"Rain , Thunderstorm",30,26,21,21,17,7,100,73,25,1017,1013,1011,10,8,4,21,3,-,0.00
2017,1,11,"Rain , Thunderstorm",31,26,21,21,17,8,94,67,24,1016,1014,1011,10,9,6,29,8,-,0.00
2017,1,12,"Rain , Thunderstorm",26,23,22,21,18,15,88,75,51,1017,1015,1013,10,10,8,23,13,-,0.00
2017,1,13,"Rain , Thunderstorm",28,24,20,20,16,12,94,66,37,1017,1015,1012,10,10,10,21,13,-,0.00
2017,1,14,"Rain , Thunderstorm",32,26,21,20,14,4,94,55,17,1015,1013,1009,10,10,10,23,10,34,0.00
2017,1,15,"Rain , Thunderstorm",31,26,21,21,14,3,94,58,17,1014,1012,1009,10,10,2,32,10,-,0.00
2017,1,16,"Rain , Thunderstorm",29,24,21,22,18,9,100,73,29,1015,1013,1010,10,9,0,29,13,48,0.00
2017,1,17,"Rain , Thunderstorm",24,21,19,21,19,2,100,89,28,1014,1013,1010,10,9,4,27,14,45,0.00
2017,1,18,"Rain , Thunderstorm",23,21,20,22,21,20,100,96,88,1016,1014,1012,10,7,3,24,5,-,0.00
2017,1,19,Rain,24,22,20,21,19,18,100,88,69,1019,1017,1015,10,8,4,13,2,-,0.00
2017,1,20,Rain,25,22,19,20,18,14,100,85,50,1021,1019,1017,10,8,2,13,3,-,0.00
2017,1,21,"Rain , Thunderstorm",26,22,19,20,19,14,100,86,47,1020,1018,1017,10,8,2,24,10,-,0.00
2017,1,22,Rain,23,20,18,20,18,17,100,90,73,1019,1017,1015,10,9,3,14,10,-,0.00
2017,1,23,Rain,27,23,19,20,16,12,94,72,42,1018,1016,1014,10,10,10,23,10,-,0.00
2017,1,24,"Rain , Thunderstorm",28,24,20,21,18,14,100,74,42,1017,1016,1014,10,9,3,24,10,45,0.00
2017,1,25,"Rain , Thunderstorm",29,24,21,21,17,12,100,69,35,1019,1016,1013,10,10,4,37,11,58,0.00
2017,1,26,"Rain , Thunderstorm",25,22,19,21,19,15,100,86,61,1018,1016,1015,10,8,1,37,10,69,0.00
2017,1,27,Rain,24,22,21,21,20,18,100,86,69,1021,1019,1016,10,9,3,11,5,-,0.00
2017,1,28,,33,27,21,20,14,3,88,57,15,1021,1019,1016,10,10,9,27,14,-,0.00
2017,1,29,,32,26,21,19,12,1,88,50,14,1022,1020,1018,10,10,10,37,18,-,0.00
2017,1,30,"Rain , Thunderstorm",31,26,21,19,13,8,88,54,27,1021,1019,1017,10,10,4,34,21,50,0.00
2017,1,31,"Rain , Thunderstorm",30,24,19,20,15,0,100,67,16,1019,1018,1015,10,8,2,45,14,50,0.00
2017,2,1,"Rain , Thunderstorm",28,23,19,19,17,12,100,75,42,1018,1015,1013,10,10,10,26,8,-,0.00
2017,2,2,"Rain , Thunderstorm",25,22,20,21,18,15,100,77,54,1015,1014,1013,10,9,3,19,11,-,0.00
2017,2,3,"Rain , Thunderstorm",28,24,20,21,17,12,100,76,37,1017,1014,1012,10,9,3,24,13,45,0.00
2017,2,4,"Rain , Thunderstorm",26,23,20,22,19,16,100,86,54,1016,1015,1013,10,9,3,23,10,-,0.00
2017,2,5,Thunderstorm,31,24,19,19,16,11,100,63,29,1016,1014,1011,10,10,10,19,10,-,0.00
2017,2,6,Thunderstorm,32,26,20,19,14,8,94,56,22,1014,1012,1009,10,10,10,32,10,50,0.00
2017,2,7,,32,26,20,18,13,5,88,53,18,1015,1013,1011,10,10,10,24,11,-,0.00
2017,2,8,,31,26,21,18,12,3,83,48,17,1017,1015,1013,10,10,10,32,18,-,0.00
2017,2,9,,30,24,19,15,9,3,78,42,18,1018,1016,1014,10,10,10,29,19,-,0.00
2017,2,10,,31,26,20,15,11,3,68,45,17,1017,1015,1013,10,10,10,26,19,-,0.00
2017,2,11,,32,26,21,19,11,3,88,45,16,1016,1014,1011,10,10,10,29,19,-,0.00
2017,2,12,,33,27,22,18,10,1,78,40,13,1015,1013,1009,10,10,10,23,13,-,0.00
2017,2,13,,31,27,24,16,6,0,61,27,14,1016,1014,1013,10,10,10,26,13,-,0.00
2017,2,14,,32,26,21,13,7,0,60,32,13,1021,1019,1016,10,10,10,26,11,-,0.00
2017,2,15,,33,27,21,15,8,1,68,34,13,1023,1021,1019,10,10,10,26,13,-,0.00
2017,2,16,,33,27,21,14,9,2,60,35,15,1022,1019,1016,10,10,8,27,14,-,0.00
2017,2,17,"Rain , Thunderstorm",34,27,21,14,10,2,60,37,13,1018,1016,1015,10,10,9,26,13,-,0.00
2017,2,18,"Rain , Thunderstorm",33,27,21,20,12,3,94,47,15,1019,1017,1014,10,9,5,14,6,29,0.00
2017,2,19,,34,28,22,11,7,3,50,29,14,1020,1018,1016,10,10,10,27,10,-,0.00
2017,2,20,,34,28,22,13,8,-2,53,34,10,1021,1019,1017,10,9,6,35,16,-,0.00
2017,2,21,,33,27,20,15,9,-1,73,39,11,1021,1019,1016,10,10,9,24,16,-,0.00
2017,2,22,,33,27,21,17,10,1,78,41,13,1020,1017,1015,10,10,10,21,14,42,0.00
2017,2,23,,33,27,20,16,8,-1,78,38,11,1020,1016,1013,10,10,9,19,11,-,0.00
2017,2,24,"Rain , Thunderstorm",25,25,20,9,4,0,36,31,26,1017,1016,1014,10,9,2,39,11,58,0.00
2017,2,25,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1017,1015,1013,10,10,3,21,10,-,0.00
2017,2,26,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1017,1016,1014,10,10,10,23,8,-,0.00
2017,2,27,Fog,-,-,-,-,-,-,-,-,-,1017,1014,1011,10,10,10,23,10,-,0.00
2017,2,28,Thunderstorm,-,-,-,-,-,-,-,-,-,1014,1012,1009,10,10,9,16,11,-,0.00
2017,3,1,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1015,1012,1010,10,10,7,37,13,55,0.00
2017,3,2,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1018,1015,1013,10,9,0,53,11,77,0.00
2017,3,3,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1019,1017,1015,10,9,4,27,11,53,0.00
2017,3,4,"Rain , Thunderstorm",26,26,23,0,0,0,22,22,22,1019,1014,1011,10,8,2,21,10,-,0.00
2017,3,5,"Rain , Thunderstorm",22,22,22,0,0,0,23,23,23,1014,1013,1010,10,10,5,26,11,-,0.00
2017,3,6,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1017,1014,1013,10,9,2,32,11,-,0.00
2017,3,7,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1018,1016,1014,10,10,9,32,11,-,0.00
2017,3,8,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1018,1016,1013,10,10,10,23,11,-,0.00
2017,3,9,,-,-,-,-,-,-,-,-,-,1017,1015,1012,10,10,10,21,13,-,0.00
2017,3,10,Thunderstorm,-,-,-,-,-,-,-,-,-,1018,1016,1014,10,10,10,23,11,-,0.00
2017,3,11,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1018,1016,1015,10,9,3,29,13,50,0.00
2017,3,12,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1018,1015,1013,10,9,6,34,19,-,0.00
2017,3,13,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1018,1016,1014,10,9,6,27,13,-,0.00
2017,3,14,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1018,1017,1014,10,9,6,26,18,45,0.00
2017,3,15,Rain,-,-,-,-,-,-,-,-,-,1020,1017,1016,10,10,10,21,11,-,0.00
2017,3,16,Thunderstorm,-,-,-,-,-,-,-,-,-,1018,1016,1014,10,10,10,21,13,-,0.00
2017,3,17,"Rain , Thunderstorm",-,-,-,-,-,-,-,-,-,1018,1016,1014,10,8,2,26,11,-,0.00
2017,3,18,Rain,-,-,-,-,-,-,-,-,-,1021,1018,1016,10,10,9,37,21,-,0.00
2017,3,19,Rain,-,-,-,-,-,-,-,-,-,1020,1019,1017,10,8,3,26,14,-,0.00
2017,3,20,,-,-,-,-,-,-,-,-,-,1023,1020,1018,10,10,10,34,18,-,0.00
2017,3,21,,-,-,-,-,-,-,-,-,-,1024,1021,1019,10,10,10,27,16,-,0.00
2017,3,22,,-,-,-,-,-,-,-,-,-,1023,1021,1018,10,10,10,29,19,-,0.00
2017,3,23,,-,-,-,-,-,-,-,-,-,1021,1018,1016,10,10,10,27,18,-,0.00
2017,3,24,,-,-,-,-,-,-,-,-,-,1019,1016,1015,10,10,8,19,13,-,0.00
2017,3,25,Rain,-,-,-,-,-,-,-,-,-,1018,1016,1014,10,9,4,29,14,69,0.00
2017,3,26,,-,-,-,-,-,-,-,-,-,1018,1016,1014,10,9,7,32,13,-,0.00
2017,3,27,Rain,-,-,-,-,-,-,-,-,-,1019,1017,1016,10,10,10,19,11,-,0.00
2017,3,28,Rain,-,-,-,-,-,-,-,-,-,1020,1018,1016,10,10,10,32,19,-,0.00
2017,3,29,,-,-,-,-,-,-,-,-,-,1020,1018,1016,10,10,10,27,16,-,0.00
2017,3,30,,-,-,-,-,-,-,-,-,-,1020,1018,1016,10,10,10,29,16,-,0.00
2017,3,31,,-,-,-,-,-,-,-,-,-,1022,1020,1018,10,10,10,34,19,-,0.00
2017,4,1,,-,-,-,-,-,-,-,-,-,1022,1020,1019,10,10,10,32,19,-,0.00
2017,4,2,,-,-,-,-,-,-,-,-,-,1020,1018,1016,10,10,10,27,18,-,0.00
2017,4,3,,-,-,-,-,-,-,-,-,-,1018,1017,1015,10,10,10,21,14,-,0.00
2017,4,4,,-,-,-,-,-,-,-,-,-,1019,1017,1015,10,10,10,23,16,-,0.00
2017,4,5,,-,-,-,-,-,-,-,-,-,1018,1016,1014,10,10,8,27,14,-,0.00
2017,4,6,Rain,-,-,-,-,-,-,-,-,-,1020,1016,1014,10,8,3,23,10,-,0.00
2017,4,7,Rain,-,-,-,-,-,-,-,-,-,1019,1017,1015,10,10,7,21,8,-,0.00
