airline;flight-code;auth-code;line-code;airport-A;airport-B;departure-est;departure-real;arrival-est;arrival-real;flight-status;delay-code
AAL;213;0;I;KMIA;SBBR;2017-01-02 01:20:00;2017-01-02 01:20:00;2017-01-02 09:00:00;2017-01-02 09:00:00;REALIZADO;
AAL;213;0;I;KMIA;SBBR;2017-01-24 01:20:00;2017-01-24 01:20:00;2017-01-24 09:00:00;2017-01-24 09:00:00;REALIZADO;
AAL;213;0;I;KMIA;SBBR;2017-01-29 01:20:00;2017-01-29 01:20:00;2017-01-29 09:00:00;2017-01-29 09:00:00;REALIZADO;
AAL;213;0;I;KMIA;SBBR;2017-01-23 01:20:00;2017-01-23 01:20:00;2017-01-23 09:00:00;2017-01-23 09:00:00;REALIZADO;
AAL;213;0;I;KMIA;SBBR;2017-01-25 01:20:00;2017-01-25 01:20:00;2017-01-25 09:00:00;2017-01-25 09:00:00;REALIZADO;
AAL;213;0;I;KMIA;SBBR;2017-01-08 01:20:00;2017-01-08 01:20:00;2017-01-08 09:00:00;2017-01-08 09:00:00;REALIZADO;
AAL;213;0;I;KMIA;SBBR;2017-01-13 01:20:00;2017-01-13 01:20:00;2017-01-13 09:00:00;2017-01-13 09:00:00;REALIZADO;
AAL;213;0;I;KMIA;SBBR;2017-01-20 01:20:00;2017-01-20 01:20:00;2017-01-20 09:00:00;2017-01-20 09:00:00;REALIZADO;
AAL;213;0;I;KMIA;SBBR;2017-01-11 01:20:00;2017-01-11 01:20:00;2017-01-11 09:00:00;2017-01-11 09:00:00;REALIZADO;
AAL;213;0;I;KMIA;SBBR;2017-01-09 01:20:00;2017-01-09 02:06:00;2017-01-09 09:00:00;2017-01-09 09:22:00;REALIZADO;TD
AAL;213;0;I;KMIA;SBBR;2017-01-06 01:20:00;2017-01-06 02:00:00;2017-01-06 09:00:00;2017-01-06 09:33:00;REALIZADO;MX
AAL;213;0;I;KMIA;SBBR;2017-01-27 01:20:00;2017-01-27 02:03:00;2017-01-27 09:00:00;2017-01-27 09:33:00;REALIZADO;TD
AAL;214;0;I;SBBR;KMIA;2017-01-20 23:55:00;2017-01-20 23:42:00;2017-01-21 07:45:00;2017-01-21 08:19:00;REALIZADO;MX
AAL;214;0;I;SBBR;KMIA;2017-01-31 23:55:00;;2017-02-01 07:45:00;;CANCELADO;XN
AAL;214;0;I;SBBR;KMIA;2017-01-26 23:55:00;2017-01-26 23:30:00;2017-01-27 07:45:00;2017-01-27 07:05:00;REALIZADO;AT
AAL;215;0;I;KLAX;SBGR;2017-01-07 21:55:00;2017-01-07 22:26:00;2017-01-08 10:00:00;2017-01-08 10:29:00;REALIZADO;TD
AAL;215;0;I;KLAX;SBGR;2017-01-24 21:55:00;2017-01-24 21:55:00;2017-01-25 10:00:00;2017-01-25 10:00:00;REALIZADO;
AAL;900;0;I;SAEZ;KMIA;2017-01-17 22:00:00;2017-01-17 22:00:00;2017-01-18 07:17:00;2017-01-18 07:17:00;REALIZADO;
AAL;900;0;I;SAEZ;KMIA;2017-01-23 22:00:00;2017-01-23 22:00:00;2017-01-24 07:17:00;2017-01-24 07:17:00;REALIZADO;
AAL;901;2;I;KMIA;SBGL;;2017-01-25 23:10:00;;2017-01-26 07:52:00;REALIZADO;
AAL;904;0;I;SBGL;KMIA;2017-01-01 22:40:00;2017-01-01 23:17:00;2017-01-02 07:35:00;2017-01-02 07:49:00;REALIZADO;MX
AAL;904;0;I;SBGL;KMIA;2017-01-27 22:40:00;2017-01-27 22:40:00;2017-01-28 07:35:00;2017-01-28 07:35:00;REALIZADO;
AAL;963;0;I;KDFW;SBGR;2017-01-31 23:00:00;2017-01-31 23:00:00;2017-02-01 09:05:00;2017-02-01 09:05:00;REALIZADO;
AAL;964;2;I;SBEG;KMIA;;2017-01-28 01:49:00;;2017-01-28 07:28:00;REALIZADO;
REALIZADO;
AFR;394;0;I;LFPG;SAEZ;2017-01-17 20:20:00;2017-01-17 20:20:00;2017-01-18 10:05:00;2017-01-18 10:05:00;REALIZADO;
AFR;401;0;I;SCEL;LFPG;2017-01-16 15:25:00;2017-01-16 15:25:00;2017-01-17 05:15:00;2017-01-17 05:15:00;REALIZADO;
AFR;401;0;I;SCEL;LFPG;2017-01-26 15:25:00;2017-01-26 15:25:00;2017-01-27 05:15:00;2017-01-27 05:15:00;REALIZADO;
AFR;401;0;I;SCEL;LFPG;2017-01-22 15:25:00;2017-01-22 15:25:00;2017-01-23 05:15:00;2017-01-23 05:15:00;REALIZADO;
AFR;401;0;I;SCEL;LFPG;2017-01-10 15:25:00;2017-01-10 15:25:00;2017-01-11 05:15:00;2017-01-11 05:15:00;REALIZADO;
AFR;401;0;I;SCEL;LFPG;2017-01-29 15:25:00;2017-01-29 15:37:00;2017-01-30 05:15:00;2017-01-30 06:00:00;REALIZADO;MX
AFR;457;0;I;SBGR;LFPG;2017-01-31 17:55:00;2017-01-31 17:55:00;2017-02-01 05:15:00;2017-02-01 05:15:00;REALIZADO;
ARG;1132;0;I;SAEZ;LEMD;2017-01-27 23:55:00;2017-01-27 23:55:00;2017-01-28 12:10:00;2017-01-28 12:10:00;REALIZADO;
ARG;1132;0;I;SAEZ;LEMD;2017-01-22 23:55:00;2017-01-22 23:55:00;2017-01-23 12:10:00;2017-01-23 12:10:00;REALIZADO;
AVA;85;0;I;SKBO;SBGR;2017-01-21 01:04:00;2017-01-21 01:04:00;2017-01-21 07:15:00;2017-01-21 07:15:00;REALIZADO;
AVA;85;4;I;SKBO;SBEG;;2017-01-21 01:01:00;;2017-01-21 03:44:00;REALIZADO;
AVA;248;0;I;SBGR;SKBO;2017-01-11 02:45:00;2017-01-11 02:14:00;2017-01-11 08:48:00;2017-01-11 07:41:00;REALIZADO;AF
AZU;2408;0;N;SBVT;SBRJ;2017-01-25 17:15:00;2017-01-25 17:09:00;2017-01-25 18:20:00;2017-01-25 18:47:00;REALIZADO;AT
AZU;2408;0;R;SBVT;SBRJ;2017-01-08 17:15:00;;2017-01-08 18:20:00;;CANCELADO;XB
AZU;2408;0;N;SBVT;SBRJ;2017-01-10 17:15:00;2017-01-10 17:01:00;2017-01-10 18:20:00;2017-01-10 18:07:00;REALIZADO;HD
AZU;2408;0;N;SBVT;SBRJ;2017-01-19 17:15:00;2017-01-19 17:05:00;2017-01-19 18:20:00;2017-01-19 18:13:00;REALIZADO;HD
AZU;2408;0;R;SBVT;SBRJ;2017-01-29 17:15:00;;2017-01-29 18:20:00;;CANCELADO;XB
AZU;2408;0;R;SBVT;SBRJ;2017-01-01 17:15:00;;2017-01-01 18:20:00;;CANCELADO;XB
AZU;2408;0;R;SBVT;SBRJ;2017-01-03 17:15:00;2017-01-03 17:15:00;2017-01-03 18:20:00;2017-01-03 18:20:00;REALIZADO;
AZU;2408;0;R;SBVT;SBRJ;2017-01-02 17:15:00;2017-01-02 17:15:00;2017-01-02 18:20:00;2017-01-02 18:20:00;REALIZADO;
AZU;2408;0;R;SBVT;SBRJ;2017-01-15 17:15:00;;2017-01-15 18:20:00;;CANCELADO;XB
AZU;2408;0;R;SBVT;SBRJ;2017-01-17 17:15:00;2017-01-17 17:15:00;2017-01-17 18:20:00;2017-01-17 18:20:00;REALIZADO;
AZU;2408;0;R;SBVT;SBRJ;2017-01-22 17:15:00;;2017-01-22 18:20:00;;CANCELADO;XB
AZU;2408;0;R;SBVT;SBRJ;2017-01-04 17:15:00;2017-01-04 17:15:00;2017-01-04 18:20:00;2017-01-04 18:20:00;REALIZADO;
AZU;2408;0;N;SBVT;SBRJ;2017-01-13 17:15:00;2017-01-13 17:03:00;2017-01-13 18:20:00;2017-01-13 18:11:00;REALIZADO;HD
AZU;2408;0;R;SBVT;SBRJ;2017-01-11 17:15:00;;2017-01-11 18:20:00;;CANCELADO;XN
AZU;2409;0;R;SBRJ;SBVT;2017-01-04 11:20:00;;2017-01-04 12:35:00;;CANCELADO;XB
AZU;2657;0;N;SBRF;SBBE;2017-01-12 13:26:00;2017-01-12 13:53:00;2017-01-12 16:03:00;2017-01-12 16:39:00;REALIZADO;MX
AZU;2657;0;R;SBSN;SBEG;2017-01-06 18:28:00;2017-01-06 18:28:00;2017-01-06 19:42:00;2017-01-06 19:42:00;REALIZADO;
AZU;2657;0;N;SBBE;SBSN;2017-01-24 16:33:00;2017-01-24 19:20:00;2017-01-24 17:58:00;2017-01-24 20:33:00;REALIZADO;RM
AZU;2657;0;R;SBSN;SBEG;2017-01-18 18:28:00;2017-01-18 18:28:00;2017-01-18 19:42:00;2017-01-18 19:42:00;REALIZADO;
AZU;2657;0;N;SBBE;SBSN;2017-01-13 16:33:00;2017-01-13 17:00:00;2017-01-13 17:58:00;2017-01-13 18:17:00;REALIZADO;WR
AZU;2782;0;R;SBPA;SBCY;2017-01-02 09:40:00;;2017-01-02 12:29:00;;CANCELADO;XB
AZU;2870;0;N;SBSP;SBCT;2017-01-28 07:30:00;2017-01-28 07:21:00;2017-01-28 08:35:00;2017-01-28 08:16:00;REALIZADO;HD
AZU;2981;0;N;SBFL;SBPF;2017-01-01 10:33:00;;2017-01-01 11:43:00;;CANCELADO;XB
AZU;2981;0;N;SBPF;SBPA;2017-01-22 12:13:00;2017-01-22 12:13:00;2017-01-22 13:13:00;2017-01-22 13:06:00;REALIZADO;HD
