airport;airportname;city;state;latitude;longitude;altitude;operation
SBAA;CONCEIÇÃO DO ARAGUAIA;CONCEIÇÃO DO ARAGUAIA;PA;8° 20' 55'' S;49° 18' 11'' W;199 m;VFR Diurno/Noturno e IFR Diurno
SBAE;BAURU/AREALVA;BAURU E AREALVA;SP;22° 9' 28'' S;49° 4' 6'' W;594 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBAM;AMAPÁ;AMAPÁ;AP;2° 4' 22'' N;50° 51' 45'' W;14 m;VFR Diurno e IFR Diurno
SBAQ;BARTOLOMEU DE GUSMÃO;ARARAQUARA;SP;21° 48' 16'' S;48° 8' 25'' W;711 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBAR;SANTA MARIA;ARACAJU;SE;10° 59' 7'' S;37° 4' 24'' W;7 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBAT;PILOTO OSVALDO MARQUES DIAS;ALTA FLORESTA;MT;9° 51' 59'' S;56° 6' 18'' W;289 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBAU;ESTADUAL DARIO GUARITA;ARAÇATUBA;SP;21° 8' 39'' S;50° 25' 35'' W;415 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBAX;ROMEU ZEMA;ARAXÁ;MG;19° 33' 38'' S;46° 57' 56'' W;999 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO;BELÉM;PA;1° 23' 5'' S;48° 28' 44'' W;17 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBBG;COMANDANTE GUSTAVO KRAEMER;BAGÉ;RS;31° 23' 27'' S;54° 6' 35'' W;183 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBBH;PAMPULHA - CARLOS DRUMMOND DE ANDRADE;BELO HORIZONTE;MG;19° 51' 7'' S;43° 57' 2'' W;789 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBBI;BACACHERI;CURITIBA;PR;25° 24' 12'' S;49° 14' 1'' W;932 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBBP;ESTADUAL ARTHUR SIQUEIRA;BRAGANÇA PAULISTA;SP;22° 58' 45'' S;46° 31' 15'' W;880 m;VFR Diurno/Noturno
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK;BRASÍLIA;DF;15° 52' 16'' S;47° 55' 7'' W;1066 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBBU;BAURU;BAURU;SP;22° 20' 37'' S;49° 3' 14'' W;617 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBBV;ATLAS BRASIL CANTANHEDE;BOA VISTA;RR;2° 50' 29'' N;60° 41' 32'' W;84 m;VFR Diurno/Noturno e IFR Diurno/Noturno
