delaycode; delayOrigin; duetoweather; autorizationdelay; delaydescription
AA; B; 0; 0; ATRASO AEROPORTO DE ALTERNATIVA de ORDEM TÉCNICA
AF; A; 0; 0; FACILIDADES DO AEROPORTO - RESTRIÇÕES DE APOIO
AG; A; 0; 0; MIGRAÇÃO/ALFÂNDEGA/SAÚDE
AI; A; 0; 0; AEROPORTO DE ORIGEM INTERDITADO
AJ; B; 0; 0; AEROPORTO DE DESTINO INTERDITADO
AM; A; 1; 0; ATRASO AEROPORTO DE ALTERNATIVA  CONDIÇÕES METEOROLÓGICAS
AR; A; 0; 0; AEROPORTO COM RESTRIÇÕES OPERACIONAIS
AS; A; 0; 0; SEGURANÇA/PAX/CARGA/ALARME
AT; A; 0; 0; LIBERAÇÃO SERV. TRAFEGO AÉREO/ANTECIPAÇÃO
DF; A; 0; 0; AVARIA DURANTE OPERAÇÕES EM VÔO
DG; A; 0; 0; AVARIA DURANTE OPERAÇÕES EM SOLO
FP; A; 0; 0; PLANO DE VÔO -  APROVAÇÃO
GF; A; 0; 0; ABASTECIMENTO/DESTANQUEIO
HA; A; 0; 1; AUTORIZADA
HB; A; 0; 0; OPERAÇÃO DE VÔO COM MAIS DE 04 HORAS DE ATRASO PANE AERONAVE
HD; A; 0; 1; ANTECIPAÇÃO DE HORÁRIO AUTORIZADA
HI; A; 0; 1; ANTECIPAÇÃO DE HORÁRIO AUTORIZADA   ESPECÍFICO VÔOS INTERNACIONAIS
IR; B; 0; 0; INCLUSÃO DE ETAPA (AEROPORTO DE ALTERNATIVA) DEVIDO A UM VÔO ESPECIAL RETORNO
MA; A; 0; 0; FALHA EQUIPO AUTOMOTIVO E DE ATENDIMENTO DE PAX
MX; A; 0; 0; ATRASOS NÃO ESPECÍFICOS   OUTROS
OA; A; 0; 1; AUTORIZADO
RA; A; 0; 0; CONEXÃO DE AERONAVE
RI; A; 0; 0; CONEXÃO AERONAVE/VOLTA   VÔO DE IDA NÃO PENALIZADO AEROPORTO INTERDITADO
RM; B; 1; 0; CONEXÃO AERONAVE/VOLTA   VÔO DE IDA NÃO PENALIZADO CONDIÇÕES METEOROLÓGICAS
ST; A; 0; 0; INCLUSÃO DE ETAPA DEVIDO CANCELAMENTO DE ESCALAS PREVISTAS   ( EXCLUSIVO PARA LINHAS SUPLEMENTADAS)
TC; A; 0; 0; TROCA DE AERONAVE
TD; A; 0; 0; DEFEITOS DA AERONAVE
VE; A; 0; 0; ESPECÍFICO PARA VÔO ESPECIAL DE EXPERIÊNCIA
VI; A; 0; 0; ESPECÍFICO PARA VÔO ESPECIAL DE INSTRUÇÃO
VR; A; 0; 0; VÔO ESPECIAL DE RETORNO (EXCLUSIVO PARA RETORNO AO AEROPORTO DE ORIGEM)
WA; A; 0; 0; ALTERNATIVA ABAIXO DOS LIMITES
WI; A; 1; 0; DEGELO E REMOÇÃO DE NEVE E/OU LAMA EM AERONAVE
WO; A; 0; 0; AEROPORTO ORIGEM ABAIXO DOS LIMITES
WR; A; 1; 0; ATRASO DEVIDO RETORNO   CONDIÇÕES METEOROLÓGICAS
WS; A; 1; 0; REMOÇÃO GELO/ÁGUA/LAMA/AREIA - EM AEROPORTO
WT; B; 0; 0; AEROPORTO DESTINO ABAIXO DOS LIMITES
XA; A; 0; 0; PROGRAMADO   FERIADO NACIONAL
XB; A; 0; 1; AUTORIZADO
XI; A; 0; 0; DEVIDO AEROPORTO DE ORIGEM INTERDITADO
XJ; B; 0; 0; DEVIDO AEROPORTO DE DESTINO INTERDITADO
XL; A; 0; 0; FALTA PAX COM PASSAGEM MARCADA   ( APENAS PARA AS LINHAS AÉREAS DOMÉSTICAS REGIONAIS)
XM; A; 0; 0; CANCELAMENTO   CONEXÃO AERONAVE/VOLTA   VÔO DE IDA CANCELADO   AEROPORTO INTERDITADO
XN; A; 0; 0; CANCELAMENTO POR MOTIVOS TÉCNICOS   OPERACIONAIS
XO; A; 0; 0; CANCELAMENTO   AEROPORTO ORIGEM ABAIXO LIMITES
XS; A; 1; 0; CANCELAMENTO   CONEXÃO AERONAVE/VOLTA   VÔO DE IDA CANCELADO   CONDIÇÕES METEOROLÓGICAS
XT; B; 0; 0; CANCELAMENTO   AEROPORTO DESTINO ABAIXO LIMITES
